tax_id,genus_tax_id,name,category,is_phage,sample,condition,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length
239935,239934,Akkermansia muciniphila,bacteria,FALSE,frozen,filter,13.62612706,54,1,25,88.0947,138
239935,239934,Akkermansia muciniphila,bacteria,FALSE,roomtemp,filter,201.8106578,671,3,598,85.565,451.543
239935,239934,Akkermansia muciniphila,bacteria,FALSE,roomtemp,flowthrough,129.27015,496,1,485,86.8189,1604.55
2014542,59753,Alcanivorax sp. N3-2A,bacteria,FALSE,frozen,flowthrough,90.57990752,276,1,274,93.5882,294.907
2014542,59753,Alcanivorax sp. N3-2A,bacteria,FALSE,roomtemp,flowthrough,139.4345368,535,1,522,93.6339,245.616
2014542,59753,Alcanivorax sp. N3-2A,bacteria,FALSE,roomtemp,filter,34.28675855,114,1,98,93.2373,222.485
51987,51986,Alcyonidium gelatinosum,eukaryota,FALSE,frozen,filter,7.570070589,30,1,25,93.8858,319.333
327968,2924,Alexandrium andersonii,eukaryota,FALSE,frozen,filter,23.21488314,92,1,89,95.3272,109.016
2925,2924,Alexandrium catenella,eukaryota,FALSE,frozen,filter,26.24291138,104,1,78,95.8179,514.82
2926,2924,Alexandrium tamarense,eukaryota,FALSE,roomtemp,filter,6.315981837,21,1,16,94.0486,205.2
889453,1193324,Alkalitalea saponilacus,bacteria,FALSE,frozen,filter,19.17751216,76,1,44,85.4084,213.389
889453,1193324,Alkalitalea saponilacus,bacteria,FALSE,roomtemp,filter,11.72968056,39,1,28,86.1832,186.487
744985,-201655514,alpha proteobacterium HIMB59,bacteria,FALSE,frozen,flowthrough,81.71882961,249,1,221,92.094,124.915
744985,-201655514,alpha proteobacterium HIMB59,bacteria,FALSE,roomtemp,filter,20.75251175,69,1,18,95.5802,103.812
159803,-200031989,alpha proteobacterium R2A57,bacteria,FALSE,roomtemp,flowthrough,9.903761491,38,1,31,98.0069,106
767758,-200072275,Alteromonadaceae bacterium HB10001,bacteria,FALSE,roomtemp,flowthrough,48.47630625,186,1,146,95.7233,70.931
715451,226,Alteromonas naphthalenivorans,bacteria,FALSE,roomtemp,flowthrough,52.38568578,201,1,193,99.7095,98.2628
232,226,Alteromonas sp.,bacteria,FALSE,roomtemp,flowthrough,26.06253024,100,1,55,99.4535,87.4651
2358187,226,Alteromonas sp. 76-1,bacteria,FALSE,frozen,filter,60.05589334,238,2,234,98.2313,176.701
1714845,226,Alteromonas sp. BL110,bacteria,FALSE,roomtemp,flowthrough,354.4504113,1360,5,1297,99.4557,205.034
2652380,226,Alteromonas sp. I4,bacteria,FALSE,roomtemp,flowthrough,41.17879778,158,1,91,95.6693,105.121
2652380,226,Alteromonas sp. I4,bacteria,FALSE,roomtemp,filter,12.93272471,43,1,14,91.5546,93.3415
2058133,226,Alteromonas sp. MB-3u-76,bacteria,FALSE,roomtemp,flowthrough,37.79066885,145,2,127,95.506,80
1917157,226,Alteromonas sp. Mex14,bacteria,FALSE,roomtemp,filter,215.9464266,718,3,209,98.5648,149.885
2267264,226,Alteromonas sp. RKMC-009,bacteria,FALSE,roomtemp,flowthrough,82.61822086,317,3,263,95.9144,160.353
233316,226,Alteromonas stellipolaris,bacteria,FALSE,roomtemp,flowthrough,753.7283745,2892,23,2824,99.5469,104.929
1970220,98848,Amathia sp. n. 1 AW-2014,eukaryota,FALSE,frozen,filter,9.084084707,36,1,25,99.4242,227
1642535,-200229817,Ameridae sp. NVS2,eukaryota,FALSE,frozen,filter,16.40181961,65,1,65,81.651,218
1540732,29189,Ammonia aberdoveyensis,eukaryota,FALSE,frozen,filter,138.2799561,548,3,543,93.058,264.305
1540732,29189,Ammonia aberdoveyensis,eukaryota,FALSE,roomtemp,filter,15.94033511,53,1,48,93.0033,217.286
29190,29189,Ammonia beccarii,eukaryota,FALSE,frozen,filter,34.82232471,138,2,124,99.5837,205.917
43993,29189,Ammonia sp.,eukaryota,FALSE,frozen,filter,20.43919059,81,1,81,99.527,423
155605,29189,Ammonia sp. AmmW10,eukaryota,FALSE,roomtemp,filter,13.53424679,45,1,45,96.983,232
1812454,29189,Ammonia sp. genotype T6,eukaryota,FALSE,frozen,filter,22.96254745,91,1,87,100,758.5
88552,88551,Amoebophrya sp.,eukaryota,FALSE,frozen,filter,209.943291,832,2,652,99.8383,264.052
860588,88551,Amoebophrya sp. ex Akashiwo sanguineaum,eukaryota,FALSE,frozen,filter,41.88772393,166,2,131,89.3807,245.244
189333,88551,Amoebophrya sp. ex Gymnodinium instriatum,eukaryota,FALSE,frozen,filter,390.6156424,1548,5,1452,90.5674,437.519
400682,178513,Amphimedon queenslandica,eukaryota,FALSE,frozen,filter,18.4205051,73,1,40,95.5411,91.0685
396411,396410,Amphisiella annulata,eukaryota,FALSE,frozen,flowthrough,13.12752283,40,1,38,90.6922,255.667
4615,4614,Ananas comosus,eukaryota,FALSE,frozen,flowthrough,21.66041267,66,1,66,83.908,87
857049,85706,Ancyromonas sp. 3b,eukaryota,FALSE,frozen,filter,18.16816941,72,1,66,85.0691,232.076
2585771,2058174,Antarcticibacterium sp. PAMC 28998,bacteria,FALSE,frozen,filter,5.046713726,20,1,11,95.295,77.1
112090,100860,Aphanomyces astaci,eukaryota,FALSE,roomtemp,filter,21.05327279,70,1,15,85.9035,80.7391
100861,100860,Aphanomyces euteiches,eukaryota,FALSE,frozen,filter,5.046713726,20,1,11,88.6515,88.15
100861,100860,Aphanomyces euteiches,eukaryota,FALSE,roomtemp,filter,22.55707799,75,2,60,83.3362,132.552
157072,100860,Aphanomyces invadans,eukaryota,FALSE,roomtemp,filter,22.85783903,76,1,8,88.1791,68.2958
549342,87110,Aplanochytrium sp. S1961,eukaryota,FALSE,roomtemp,filter,31.57990919,105,1,105,97.6,125
2006705,-200,Apostomatida sp.,eukaryota,FALSE,frozen,filter,8.327077648,33,1,26,93.9568,147.424
41120,41119,Apusomonas proboscidea,eukaryota,FALSE,roomtemp,filter,144.9668212,482,4,425,90.4818,239.02
41120,41119,Apusomonas proboscidea,eukaryota,FALSE,roomtemp,flowthrough,29.19003387,112,1,107,82.5035,277.607
1938604,187,Aquaspirillum sp. LM1,bacteria,FALSE,frozen,filter,534.6993193,2119,6,2004,97.1841,576.157
1938604,187,Aquaspirillum sp. LM1,bacteria,FALSE,frozen,flowthrough,45.9463299,140,1,65,95.6824,182.371
1938604,187,Aquaspirillum sp. LM1,bacteria,FALSE,roomtemp,flowthrough,12.51001452,48,1,32,94.1477,86.9767
254247,254245,Aquicella siphonis,bacteria,FALSE,roomtemp,flowthrough,43.7850508,168,2,167,99.4177,76.9835
1714849,290174,Aquimarina sp. AD10,bacteria,FALSE,frozen,filter,20.69152628,82,1,69,96.4491,144.618
1714849,290174,Aquimarina sp. AD10,bacteria,FALSE,roomtemp,flowthrough,17.98314587,69,2,66,98.1414,143.687
28197,28196,Arcobacter butzleri,bacteria,FALSE,roomtemp,flowthrough,14.07376633,54,1,29,99.6596,154.135
1912871,28196,Arcobacter canalis,bacteria,FALSE,frozen,filter,7.317734903,29,2,25,94.741,125.111
1912871,28196,Arcobacter canalis,bacteria,FALSE,roomtemp,flowthrough,26.32315554,101,1,99,90.0139,694.536
1054034,28196,Arcobacter cloacae,bacteria,FALSE,frozen,filter,44.91575216,178,1,172,96.6425,593.517
505249,28196,Arcobacter marinus,bacteria,FALSE,frozen,flowthrough,10.83020633,33,1,25,92.4919,187.767
505249,28196,Arcobacter marinus,bacteria,FALSE,roomtemp,filter,18.04566239,60,1,58,92.8918,285.644
1032072,28196,Arcobacter molluscorum,bacteria,FALSE,frozen,flowthrough,120.445022,367,1,352,94.3686,781.595
1032072,28196,Arcobacter molluscorum,bacteria,FALSE,roomtemp,flowthrough,29.45065917,113,2,104,85.9155,482.029
1080223,28196,Arcobacter pacificus,bacteria,FALSE,frozen,flowthrough,19.0349081,58,1,40,89.3568,68.6481
1080223,28196,Arcobacter pacificus,bacteria,FALSE,frozen,filter,7.822406276,31,1,13,98.6862,75.4828
1872629,28196,Arcobacter sp.,bacteria,FALSE,roomtemp,flowthrough,18.24377117,70,1,69,94.1202,230.845
944547,-200072294,Arcobacter sp. L,bacteria,FALSE,frozen,flowthrough,49.55639868,151,1,145,98.2586,307.121
1278212,28196,Arcobacter suis,bacteria,FALSE,frozen,filter,71.15866354,282,1,247,98.3485,705.776
1278212,28196,Arcobacter suis,bacteria,FALSE,frozen,flowthrough,14.11208704,43,1,26,98.55,85.975
1278212,28196,Arcobacter suis,bacteria,FALSE,roomtemp,filter,29.77534295,99,1,63,96.1129,286.344
375585,375584,Arcuospathidium muscorum,eukaryota,FALSE,frozen,filter,74.69136315,296,1,289,83.4172,578.862
2057183,1283303,Arenosclera amazonensis,eukaryota,FALSE,frozen,filter,84.53245491,335,2,332,90.967,443.052
129218,50230,Arisaema ringens,eukaryota,FALSE,frozen,filter,56.77552942,225,1,225,100,204
307035,13346,Armadillidium sp. JM-2004,eukaryota,FALSE,frozen,filter,41.38305256,164,1,162,93.2705,87.8442
2004468,-200,Armatimonadetes bacterium Uphvl-Ar2,bacteria,FALSE,frozen,filter,34.06531765,135,2,103,91.6518,231.402
1461584,1663,Arthrobacter saudimassiliensis,bacteria,FALSE,frozen,filter,17.41116236,69,1,68,89.1639,118.328
1461584,1663,Arthrobacter saudimassiliensis,bacteria,FALSE,roomtemp,filter,24.36164423,81,1,81,89.076,119
416573,138848,Aspidisca aculeata,eukaryota,FALSE,roomtemp,filter,162.7117226,541,1,531,93.8622,217.698
84397,84396,Asplanchna sieboldi,eukaryota,FALSE,frozen,filter,117.0837584,464,2,455,92.3125,287.97
210441,35129,Asterionella formosa,eukaryota,FALSE,frozen,filter,14.88780549,59,1,29,86.5432,187.12
210441,35129,Asterionella formosa,eukaryota,FALSE,roomtemp,filter,8.120548077,27,1,15,86.0912,219.24
33640,33639,Asterionellopsis glacialis,eukaryota,FALSE,frozen,filter,227.1021177,900,2,875,93.5771,904.95
33640,33639,Asterionellopsis glacialis,eukaryota,FALSE,roomtemp,filter,23.45936111,78,1,54,97.491,108.973
1979749,10806,Asteroid ambidensovirus 1,viruses,FALSE,frozen,flowthrough,42.99263726,131,2,38,99.5768,183.934
451787,265578,Attheya ussurensis,eukaryota,FALSE,frozen,filter,34.06531765,135,1,126,88.7555,329.691
44056,44055,Aureococcus anophagefferens,eukaryota,FALSE,frozen,filter,69.13997805,274,1,84,88.6962,106.52
44056,44055,Aureococcus anophagefferens,eukaryota,FALSE,roomtemp,filter,138.6508394,461,4,340,89.0438,154.589
44056,44055,Aureococcus anophagefferens,eukaryota,FALSE,roomtemp,flowthrough,59.94381955,230,1,202,84.2656,270.359
1914043,80624,Austroboletus sp.,eukaryota,FALSE,roomtemp,filter,79.40091453,264,1,264,92.754,69
3075,191392,Auxenochlorella protothecoides,eukaryota,FALSE,frozen,filter,10.85043451,43,1,9,88.7374,89.2093
1129410,632149,Azadinium caudatum,eukaryota,FALSE,frozen,filter,402.223084,1594,1,1590,98.4065,188.546
2202148,191,Azospirillum sp. CFH 70021,bacteria,FALSE,frozen,flowthrough,20.67584845,63,1,59,92.7773,133.491
5866,5864,Babesia bigemina,eukaryota,FALSE,roomtemp,filter,9.022831196,30,1,9,91.403,125.074
1764608,-200,Bacillariophyceae sp. RCC2936,eukaryota,FALSE,frozen,filter,16.14948392,64,1,63,100,301.741
1442596,426670,Bacteriastrum mediterraneum,eukaryota,FALSE,frozen,filter,146.8593694,582,1,582,86.6028,209
2161884,-200,bacterium AG-311-K16,bacteria,FALSE,frozen,flowthrough,548.7304542,1672,16,1370,84.4345,733.006
2161884,-200,bacterium AG-311-K16,bacteria,FALSE,roomtemp,flowthrough,25.02002903,96,1,6,91.6756,77.7234
2161886,-200,bacterium AG-311-N15,bacteria,FALSE,frozen,flowthrough,21.00403653,64,1,10,86.6573,83.4286
1399952,-200,bacterium endosymbiont of Onthophagus Taurus,bacteria,FALSE,roomtemp,flowthrough,24.49877843,94,1,72,97.2986,80.5663
1277251,-200,bacterium SS1.10,bacteria,FALSE,roomtemp,flowthrough,7.297508467,28,1,27,98.4002,130.72
1165225,-200,bacterium WHC2-2,bacteria,FALSE,frozen,filter,148.8780549,590,1,590,100,481
1400053,-200,Bacteroidales bacterium CF,bacteria,FALSE,frozen,filter,6.308392158,25,1,18,86.2468,74.3529
1009933,-200,Bacteroidetes bacterium SCGC AAA160-G10,bacteria,FALSE,frozen,filter,23.9718902,95,1,95,100,241
909204,71584,Balantidium ctenopharyngodoni,eukaryota,FALSE,roomtemp,filter,53.5354651,178,1,171,92.9462,306.987
2053516,-201813606,Balneolaceae bacterium,bacteria,FALSE,frozen,flowthrough,19.69128424,60,1,36,95.4789,183.63
2053516,-201813606,Balneolaceae bacterium,bacteria,FALSE,frozen,filter,6.560727844,26,1,12,93.8042,160.667
2021878,-200,Barns Ness breadcrumb sponge aquatic picorna-like virus 2,viruses,FALSE,frozen,filter,26.99991844,107,2,31,97.868,126.235
2021878,-200,Barns Ness breadcrumb sponge aquatic picorna-like virus 2,viruses,FALSE,frozen,flowthrough,23.30135302,71,1,7,96.8075,94.9677
2021878,-200,Barns Ness breadcrumb sponge aquatic picorna-like virus 2,viruses,FALSE,roomtemp,filter,14.73729095,49,1,7,98.0776,100.422
2021880,-200,Barns Ness breadcrumb sponge aquatic picorna-like virus 4,viruses,FALSE,frozen,flowthrough,98.45642121,300,6,240,91.4431,543.701
2021880,-200,Barns Ness breadcrumb sponge aquatic picorna-like virus 4,viruses,FALSE,roomtemp,flowthrough,41.70004838,160,5,67,92.6662,172.467
2021905,-200039738,Barns Ness breadcrumb sponge tombus-like virus 4,viruses,FALSE,frozen,flowthrough,45.28995376,138,3,124,94.9405,499.534
774,773,Bartonella bacilliformis,bacteria,FALSE,roomtemp,filter,46.31720014,154,1,152,83.3849,188.861
2267275,773,Bartonella krasnovii,bacteria,FALSE,frozen,filter,9.084084707,36,1,36,83.246,191
1472345,1472344,Basilea psittacipulmonis,bacteria,FALSE,roomtemp,flowthrough,19.54689768,75,1,75,100,89
41875,41874,Bathycoccus prasinos,eukaryota,FALSE,frozen,flowthrough,862.1500618,2627,3,2217,97.3231,748.279
41875,41874,Bathycoccus prasinos,eukaryota,FALSE,frozen,filter,296.7467671,1176,7,932,97.5593,200.91
41875,41874,Bathycoccus prasinos,eukaryota,FALSE,roomtemp,filter,43.30958974,144,1,66,98.0312,147.333
1922434,-200,Beihai mollusks virus 1,viruses,FALSE,frozen,flowthrough,1609.434299,4904,1,4860,90.7587,8858.76
1922434,-200,Beihai mollusks virus 1,viruses,FALSE,roomtemp,flowthrough,831.3947147,3190,1,3156,90.7747,8920.69
1922435,-200,Beihai mollusks virus 2,viruses,FALSE,frozen,flowthrough,99.44098542,303,7,126,95.854,186.467
1922435,-200,Beihai mollusks virus 2,viruses,FALSE,roomtemp,flowthrough,58.90131834,226,1,45,93.0719,148.278
1922515,-200,Beihai picobirna-like virus 10,viruses,FALSE,frozen,flowthrough,58.74566466,179,2,160,82.4154,387.099
1922515,-200,Beihai picobirna-like virus 10,viruses,FALSE,roomtemp,flowthrough,17.46189526,67,2,57,83.2382,379.385
1922527,-200,Beihai picorna-like virus 1,viruses,FALSE,frozen,flowthrough,130.9470402,399,1,380,81.3755,178.045
1922556,-200,Beihai picorna-like virus 14,viruses,FALSE,roomtemp,filter,8.120548077,27,2,23,88.9871,175.37
1922557,-200,Beihai picorna-like virus 15,viruses,FALSE,frozen,flowthrough,6.563761414,20,1,11,87.9735,181.95
1922559,-200,Beihai picorna-like virus 17,viruses,FALSE,frozen,flowthrough,1884.127714,5741,1,5740,94.356,8644.26
1922559,-200,Beihai picorna-like virus 17,viruses,FALSE,frozen,filter,20.1868549,80,1,12,95.7929,120.865
1922559,-200,Beihai picorna-like virus 17,viruses,FALSE,roomtemp,flowthrough,825.4003327,3167,1,3167,94.3751,8694
1922577,-200,Beihai picorna-like virus 34,viruses,FALSE,frozen,flowthrough,44.63357762,136,1,114,83.8758,713.056
1922577,-200,Beihai picorna-like virus 34,viruses,FALSE,roomtemp,flowthrough,12.51001452,48,1,19,86.4327,205.468
1922578,-200,Beihai picorna-like virus 35,viruses,FALSE,frozen,flowthrough,305.8712819,932,11,765,86.2475,617.224
1922578,-200,Beihai picorna-like virus 35,viruses,FALSE,roomtemp,flowthrough,140.9982886,541,8,378,89.3558,541.731
1922583,-200,Beihai picorna-like virus 4,viruses,FALSE,frozen,flowthrough,89.5953433,273,5,247,92.1264,737.381
1922583,-200,Beihai picorna-like virus 4,viruses,FALSE,roomtemp,flowthrough,33.36003871,128,4,83,93.2108,333.157
1922745,-200,Beihai weivirus-like virus 17,viruses,FALSE,roomtemp,flowthrough,8.861260282,34,2,32,84.012,279.303
232259,232244,Belliella baltica,bacteria,FALSE,roomtemp,filter,13.23348575,44,1,29,89.5182,180.455
94643,94642,Besnoitia besnoiti,eukaryota,FALSE,frozen,filter,61.31757177,243,1,229,85.2102,90.8454
1904640,-200,Betaproteobacteria bacterium GR16-43,bacteria,FALSE,roomtemp,filter,12.0304416,40,1,34,86.6761,183.154
1690485,-200,Betaproteobacteria bacterium UKL13-2,bacteria,FALSE,frozen,filter,209.6909553,831,2,829,86.4415,1203.94
1690485,-200,Betaproteobacteria bacterium UKL13-2,bacteria,FALSE,roomtemp,filter,188.276411,626,2,620,89.2205,289.596
1690485,-200,Betaproteobacteria bacterium UKL13-2,bacteria,FALSE,roomtemp,flowthrough,90.43697993,347,2,343,88.9266,113.664
624125,272143,Bicosoeca sp. HFCC85,eukaryota,FALSE,frozen,filter,25.99057569,103,1,99,90.9476,290.526
624125,272143,Bicosoeca sp. HFCC85,eukaryota,FALSE,roomtemp,flowthrough,210.8458696,809,2,789,87.2438,326.822
272145,272143,Bicosoeca vacillans,eukaryota,FALSE,roomtemp,flowthrough,358.6204161,1376,7,1325,98.9409,216.039
272145,272143,Bicosoeca vacillans,eukaryota,FALSE,roomtemp,filter,279.7077671,930,5,846,99.969,133.689
1407009,1209074,Biecheleria brevisulcata,eukaryota,FALSE,frozen,filter,605.8579828,2401,11,2266,99.0139,330.796
584794,1209074,Biecheleria cincta,eukaryota,FALSE,frozen,filter,46.17743059,183,1,146,99.8047,259.493
1407008,1407007,Biecheleriopsis adriatica,eukaryota,FALSE,frozen,filter,461.2696346,1828,2,1520,99.5691,279.772
227086,227085,Bigelowiella natans,eukaryota,FALSE,roomtemp,flowthrough,121.9726415,468,4,451,95.3802,300.903
227086,227085,Bigelowiella natans,eukaryota,FALSE,roomtemp,filter,62.55829629,208,2,162,93.0614,266.231
267992,-200005708,Bodonidae sp. Auckland,eukaryota,FALSE,roomtemp,filter,205.1190292,682,2,657,98.7551,292.741
44438,44437,Botrydium stoloniferum,eukaryota,FALSE,roomtemp,flowthrough,10.16438679,39,1,39,94.505,91
204736,10194,Brachionus urceolaris,eukaryota,FALSE,frozen,filter,22.2055404,88,1,63,93.6561,225.762
2600177,-200,Bradymonadales bacterium V1718,bacteria,FALSE,roomtemp,flowthrough,23.97752782,92,1,89,98.7479,93.9545
2600177,-200,Bradymonadales bacterium V1718,bacteria,FALSE,roomtemp,filter,19.54946759,65,1,20,93.8296,87.4603
1548548,1779136,Bradymonas sediminis,bacteria,FALSE,roomtemp,flowthrough,105.8138728,406,2,404,92.5203,81.7486
686769,1885054,Brevimastigomonas anaerobica,eukaryota,FALSE,frozen,filter,9.084084707,36,1,36,92.537,67
2560357,2560218,Britarnavirus 4,viruses,FALSE,frozen,flowthrough,71.54499941,218,4,85,99.483,249.348
2560357,2560218,Britarnavirus 4,viruses,FALSE,roomtemp,flowthrough,25.02002903,96,2,21,98.8033,117.2
3130,3128,Bryopsis plumosa,eukaryota,FALSE,frozen,filter,24.47656157,97,3,72,95.4538,247.723
2007182,2007181,Bryothamnion seaforthii,eukaryota,FALSE,frozen,filter,14.13079843,56,1,56,98.551,138
1395562,379357,Buliminoides sp. 5041,eukaryota,FALSE,frozen,filter,15.39247686,61,1,58,93.8236,239.962
28095,32008,Burkholderia gladioli,bacteria,FALSE,frozen,flowthrough,6.563761414,20,1,15,88.0954,71.7368
28095,32008,Burkholderia gladioli,bacteria,FALSE,roomtemp,filter,492.6465833,1638,1,1633,94.1573,378.6
13373,32008,Burkholderia mallei,bacteria,FALSE,roomtemp,flowthrough,46.39130383,178,4,175,88.5201,65.7848
41899,32008,Burkholderia plantarii,bacteria,FALSE,roomtemp,flowthrough,84.44259798,324,1,323,94.1886,86.9191
1207504,32008,Burkholderia pseudomultivorans,bacteria,FALSE,frozen,flowthrough,10.83020633,33,1,30,89.9175,189.903
758796,32008,Burkholderia sp. RPE67,bacteria,FALSE,roomtemp,flowthrough,7.297508467,28,1,24,86.9978,201.037
1400387,1400386,Bythopirellula goksoyri,bacteria,FALSE,frozen,filter,7.065399217,28,1,18,90.2816,152.333
353213,127147,Caecitellus paraparvulus,eukaryota,FALSE,roomtemp,flowthrough,169.4064466,650,3,565,97.424,240.334
353213,127147,Caecitellus paraparvulus,eukaryota,FALSE,roomtemp,filter,147.0721485,489,2,396,91.2917,498.694
127148,127147,Caecitellus parvulus,eukaryota,FALSE,roomtemp,filter,135.3424679,450,2,266,99.604,215.241
127148,127147,Caecitellus parvulus,eukaryota,FALSE,roomtemp,flowthrough,95.12823538,365,2,261,97.5887,251.442
6239,6237,Caenorhabditis elegans,eukaryota,FALSE,roomtemp,filter,8.421309117,28,1,7,83.3689,96.7407
459042,33652,Cafeteria cf. marsupialis,eukaryota,FALSE,roomtemp,filter,15.63957407,52,1,34,95.6805,178.92
2604073,33652,Cafeteria graefeae,eukaryota,FALSE,roomtemp,filter,259.5567774,863,2,862,88.3906,508.253
2604614,33652,Cafeteria mylnikovii,eukaryota,FALSE,roomtemp,filter,9.624353276,32,1,28,91.9497,200.357
33653,33652,Cafeteria roenbergensis,eukaryota,FALSE,roomtemp,flowthrough,39.35442066,151,1,102,93.7236,178.971
33653,33652,Cafeteria roenbergensis,eukaryota,FALSE,roomtemp,filter,26.46697151,88,2,58,92.205,206.535
133453,233191,Caldilinea aerophila,bacteria,FALSE,frozen,flowthrough,24.28591723,74,1,33,90.0642,131.721
217165,217164,Caligus rogercresseyi,eukaryota,FALSE,roomtemp,filter,24.96316631,83,2,49,86.3934,156.224
410330,-200,Calyptogena okutanii thioautotrophic gill symbiont,bacteria,FALSE,frozen,filter,11.85977726,47,1,41,98.425,77.5227
1389454,1389453,Candidatus Actinomarina minuta,bacteria,FALSE,frozen,filter,355.7933177,1410,2,1102,94.4369,2682.54
1389454,1389453,Candidatus Actinomarina minuta,bacteria,FALSE,frozen,flowthrough,138.4953658,422,1,356,96.9021,809.208
1389454,1389453,Candidatus Actinomarina minuta,bacteria,FALSE,roomtemp,filter,1284.24964,4270,1,4234,94.5992,3070.5
1389454,1389453,Candidatus Actinomarina minuta,bacteria,FALSE,roomtemp,flowthrough,22.1531507,85,2,46,98.1984,159.307
281120,281119,Candidatus Amoebophilus asiaticus,bacteria,FALSE,frozen,filter,53.74750118,213,1,208,82.673,943.525
1855377,529881,Candidatus Aquiluna sp. UB-MaderosW2red,bacteria,FALSE,frozen,filter,48.19611609,191,3,133,89.0063,260.805
1855377,529881,Candidatus Aquiluna sp. UB-MaderosW2red,bacteria,FALSE,frozen,flowthrough,26.25504566,80,1,33,95.9116,168.608
1855377,529881,Candidatus Aquiluna sp. UB-MaderosW2red,bacteria,FALSE,roomtemp,filter,55.94155342,186,2,65,96.0396,146.082
221280,221279,Candidatus Competibacter phosphatis,bacteria,FALSE,roomtemp,flowthrough,96.17073659,369,1,367,87.3498,70.9219
1263979,1263978,Candidatus Endolissoclinum faulkneri,bacteria,FALSE,frozen,flowthrough,56.44834816,172,1,166,95.7243,187.828
1862133,-200,Candidatus Gracilibacteria bacterium 28_42_T64,bacteria,FALSE,frozen,filter,8.074741962,32,1,10,93.1197,113.188
1070130,1906661,Candidatus Gullanella endobia,bacteria,FALSE,roomtemp,filter,80.60395869,268,1,267,91.6662,119.708
138072,568987,Candidatus Hamiltonella defensa,bacteria,FALSE,roomtemp,flowthrough,27.36565675,105,3,90,97.1717,86.1596
174633,380738,Candidatus Kuenenia stuttgartiensis,bacteria,FALSE,frozen,flowthrough,8.532889838,26,1,24,85.3936,162.455
1581557,1679002,Candidatus Methylopumilus planktonicus,bacteria,FALSE,frozen,filter,13.62612706,54,1,46,87.9941,209.37
1808979,1808977,Candidatus Methylospira mobilis,bacteria,FALSE,roomtemp,filter,76.39330413,254,1,240,82.1296,130.608
